ダウンロード実行日,2014年01月26日現在,件数,10135件
ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード
"E01724","内国法人・組合","上場","有","571"," 3月31日","鈴茂器工株式会社","Suzumo Machinery Co., Ltd.","スズモキコウカブシキガイシヤ","練馬区豊玉北２丁目２３番２号","機械","64050"
"E01725","内国法人・組合","上場","有","20185","12月31日","三井海洋開発株式会社","MODEC,INC.","ミツイカイヨウカイハツカブシキガイシャ","中央区日本橋二丁目３番１０号","機械","62690"
"E01726","内国法人・組合","上場","有","10000"," 3月31日","ナブテスコ株式会社","Nabtesco Corporation","ナブテスコカブシキガイシャ","千代田区平河町２丁目７番９号","機械","62680"
"E01727","内国法人・組合","上場","無","717"," 3月31日","ヒーハイスト精工株式会社","HEPHAIST SEIKO CO.,LTD.","ヒーハイストセイコウカブシキガイシャ","川越市今福５８０番地１","機械","64330"
"E01728","内国法人・組合","上場","有","748"," 3月31日","株式会社妙徳","Myotoku Ltd.","カブシキガイシャミョウトク","大田区下丸子二丁目６番１８号","機械","62650"
"E01729","内国法人・組合","上場","有","442"," 3月31日","日進工具株式会社","NS TOOL CO.,LTD.","ニッシンコウグカブシキガイシャ","品川区南大井四丁目５番９号","機械","61570"
"E01730","内国法人・組合","上場","無","557"," 3月20日","株式会社エスティック","ESTIC CORPORATION","カブシキガイシャエスティック","守口市橋波東之町二丁目５番９号","機械","61610"
"E01731","内国法人・組合","上場","有","1899"," 3月31日","ペガサスミシン製造株式会社","PEGASUS SEWING MACHINE MFG. CO., LTD.","ペガサスミシンセイゾウカブシキガイシャ","大阪市福島区鷺洲五丁目７番２号","機械","62620"
"E01732","内国法人・組合","非上場","無","2651"," 3月31日","シチズンマシナリーミヤノ株式会社","CITIZEN MACHINERY MIYANO CO.,LTD.","シチズンマシナリーミヤノカブシキガイシャ","北佐久郡御代田町御代田４１０７－６","機械",""
"E01733","内国法人・組合","上場","有","2633"," 3月31日","平田機工株式会社","HIRATA Corporation","ヒラタキコウカブシキガイシャ","品川区戸越三丁目９番２０号","機械","62580"
"E01734","内国法人・組合","上場","有","2812"," 8月末日","株式会社エヌ・ピー・シー","NPC Incorporated","カブシキガイシャエヌピーシー","荒川区南千住１－１－２０","機械","62550"
"E01735","内国法人・組合","上場","有","2236"," 3月31日","野村マイクロ・サイエンス株式会社","Nomura Micro Science Co.,Ltd.","ノムラマイクロサイエンスカブシキガイシャ","厚木市岡田二丁目９番８号","機械","62540"
"E01737","内国法人・組合","上場","有","458790"," 3月末日","株式会社日立製作所","Hitachi, Ltd.","カブシキカイシャヒタチセイサクショ","千代田区丸の内一丁目６番６号","電気機器","65010"
"E01738","内国法人・組合","上場","有","439901"," 3月31日","株式会社　東芝","TOSHIBA CORPORATION","カブシキガイシャトウシバ","港区芝浦一丁目１番１号","電気機器","65020"
"E01739","内国法人・組合","上場","有","175820"," 3月31日","三菱電機株式会社","Mitsubishi Electric Corporation","ミツビシデンキカブシキガイシャ","千代田区丸の内二丁目７番３号","電気機器","65030"
"E01740","内国法人・組合","上場","有","47586"," 3月31日","富士電機株式会社","FUJI ELECTRIC CO., LTD.","フジデンキカブシキガイシャ","川崎市川崎区田辺新田１番１号","電気機器","65040"
"E01741","内国法人・組合","上場","有","23062"," 3月20日","株式会社安川電機","YASKAWA Electric Corporation","カブシキガイシャヤスカワデンキ","北九州市八幡西区黒崎城石２番１号","電気機器","65060"
"E01742","内国法人・組合","上場","有","4998"," 5月31日","東洋電機製造株式会社","","トウヨウデンキセイゾウカブシキガイシャ","中央区八重洲一丁目４番１６号","電気機器","65050"
"E01743","内国法人・組合","上場","有","10156"," 3月31日","シンフォニアテクノロジー株式会社","SINFONIA TECHNOLOGY CO., LTD.","シンフォニアテクノロジーカブシキガイシャ","港区芝大門１－１－３０芝ＮＢＦタワー","電気機器","65070"
"E01744","内国法人・組合","上場","有","17070"," 3月31日","株式会社明電舎","MEIDENSHA CORPORATION","カブシキガイシャメイデンシャ","品川区大崎二丁目１番１号","電気機器","65080"
"E01745","内国法人・組合","上場","有","17813"," 3月31日","日立工機株式会社","Hitachi Koki Co., Ltd.","ヒタチコウキカブシキガイシャ","港区港南二丁目１５番１号","機械","65810"
"E01746","内国法人・組合","上場","有","10252"," 3月31日","日新電機株式会社","Nissin Electric Co., Ltd.","ニッシンデンキカブシキガイシャ","京都市右京区梅津高畝町４７番地","電気機器","66410"
"E01747","内国法人・組合","上場","有","2899"," 3月31日","株式会社戸上電機製作所","Togami Electric Mfg. Co.,Ltd.","カブシキガイシャトガミデンキセイサクショ","佐賀市大財北町１番１号","電気機器","66430"
"E01748","内国法人・組合","上場","有","4053"," 3月31日","愛知電機株式会社","AICHI ELECTRIC CO.,LTD.","アイチデンキカブシキガイシャ","春日井市愛知町１番地","電気機器","66230"
"E01749","内国法人・組合","上場","有","5906"," 3月31日","株式会社高岳製作所","TAKAOKA ELECTRIC MFG.CO.,LTD.","カブシキカイシャタカオカセイサクショ","中央区明石町８－１","電気機器",""
"E01750","内国法人・組合","上場","有","10596"," 3月31日","株式会社ダイヘン","DAIHEN CORPORATION","カブシキガイシャダイヘン","大阪市淀川区田川二丁目１番１１号","電気機器","66220"
"E01751","内国法人・組合","上場","有","6103"," 3月31日","オリジン電気株式会社","Origin Electric Company,Limited","オリジンデンキカブシキガイシャ","豊島区高田１－１８－１","電気機器","65130"
"E01752","内国法人・組合","上場","有","4686"," 3月31日","大崎電気工業株式会社","Osaki Electric Co.,Ltd.","オオサキデンキコウギョウカブシキガイシャ","品川区東五反田二丁目１０番２号","電気機器","66440"
"E01753","内国法人・組合","上場","有","3481"," 3月31日","三櫻工業株式会社","Sanoh Industrial Co.,Ltd.","サンオウコウギョウカブシキガイシャ","渋谷区恵比寿一丁目２３番２３号","輸送用機器","65840"
"E01754","内国法人・組合","上場","無","2124"," 3月31日","株式会社かわでん","KAWADEN CORPORATION","カブシキガイシャカワデン","南陽市小岩沢２２５番地","電気機器","66480"
"E01755","内国法人・組合","上場","有","64099"," 3月31日","オムロン株式会社","OMRON CORPORATION","オムロンカブシキガイシャ","京都市下京区塩小路通堀川東入南不動堂町８０１番地","電気機器","66450"
"E01757","内国法人・組合","上場","有","6761"," 3月31日","芝浦メカトロニクス株式会社","SHIBAURA MECHATRONICS CORPORATION","シバウラメカトロニクスカブシキガイシャ","横浜市栄区笠間二丁目５番１号","電気機器","65900"
"E01758","内国法人・組合","上場","有","1954"," 3月31日","デンヨー株式会社","Denyo Co.,Ltd.","デンヨーカブシキガイシャ","中央区日本橋堀留町２丁目８番５号","電気機器","65170"
"E01759","内国法人・組合","上場","有","6578"," 3月31日","日東工業株式会社","NITTO KOGYO CORPORATION","ニットウコウギョウカブシキガイシャ","長久手市蟹原２２０１番地","電気機器","66510"
"E01760","内国法人・組合","上場","有","2323","12月31日","株式会社正興電機製作所","SEIKO ELECTRIC CO.,LTD.","カブシキガイシャセイコウデンキセイサクショ","福岡市博多区東光二丁目７番２５号","電気機器","66530"
"E01761","内国法人・組合","上場","有","2116"," 3月31日","株式会社帝国電機製作所","TEIKOKU ELECTRIC MFG.CO.,LTD.","カブシキガイシャテイコクデンキセイサクショ","たつの市新宮町平野６０番地","機械","63330"
"E01762","内国法人・組合","非上場","無","490","12月31日","株式会社ゼネシス","Xenesys Incorporated","カブシキガイシャゼネシス","中央区銀座５丁目１１番１４号８階","電気機器",""
"E01763","内国法人・組合","上場","無","126"," 6月30日","株式会社インネクスト","INNEXT Co.,Ltd","カブシキカイシャインネクスト","品川区西五反田二丁目１８番２号","電気機器",""
"E01764","内国法人・組合","上場","有","1236"," 3月31日","寺崎電気産業株式会社","TERASAKI ELECTRIC CO.,LTD.","テラサキデンキサンギョウカブシキガイシャ","大阪市阿倍野区阪南町７丁目２番１０号","電気機器","66370"
"E01765","内国法人・組合","上場","有","397199"," 3月31日","日本電気株式会社","NEC Corporation","ニッポンデンキカブシキカイシャ","港区芝五丁目７番１号","電気機器","67010"
"E01766","内国法人・組合","上場","有","324625"," 3月31日","富士通株式会社","FUJITSU LIMITED","フジツウカブシキガイシャ","川崎市中原区上小田中４丁目１番１号","電気機器","67020"
"E01767","内国法人・組合","上場","有","44000"," 3月31日","沖電気工業株式会社","Oki Electric Industry Company, Limited","オキデンキコウギョウカブシキガイシャ","港区虎ノ門１丁目７番１２号","電気機器","67030"
"E01768","内国法人・組合","上場","有","6025"," 3月31日","岩崎通信機株式会社","IWATSU ELECTRIC CO., LTD.","イワサキツウシンキカブシキガイシャ","杉並区久我山１丁目７番４１号","電気機器","67040"
"E01769","内国法人・組合","上場","有","6846"," 3月31日","日本信号株式会社","The Nippon Signal Company,Limited","ニホンシンゴウカブシキガイシャ","千代田区丸の内一丁目５番１号　新丸の内ビルディング　１３階","電気機器","67410"
"E01770","内国法人・組合","上場","有","6270"," 3月31日","株式会社京三製作所","Kyosan Electric Manufacturing Co.,Ltd.","カブシキガイシャキョウサンセイサクショ","横浜市鶴見区平安町２丁目２９番地の１","電気機器","67420"
"E01771","内国法人・組合","上場","有","14704"," 3月31日","日本無線株式会社","Japan Radio Co.,Ltd.","ニホンムセンカブシキガイシャ","三鷹市下連雀五丁目１番１号","電気機器","67510"
"E01772","内国法人・組合","上場","有","258740"," 3月31日","パナソニック株式会社","Panasonic Corporation","パナソニックカブシキガイシャ","門真市大字門真１００６番地","電気機器","67520"
"E01773","内国法人・組合","上場","有","121884"," 3月31日","シャープ株式会社","Sharp Corporation","シャープカブシキガイシャ","大阪市阿倍野区長池町２２番２２号","電気機器","67530"
"E01774","内国法人・組合","上場","有","19052"," 3月31日","アンリツ株式会社","ANRITSU CORPORATION","アンリツカブシキガイシャ","厚木市恩名五丁目１番１号","電気機器","67540"
"E01775","内国法人・組合","上場","有","18089"," 3月31日","株式会社富士通ゼネラル","FUJITSU GENERAL LIMITED","カブシキガイシャフジツウゼネラル","川崎市高津区末長１１１６番地","電気機器","67550"
"E01776","内国法人・組合","上場","有","10058"," 3月31日","株式会社日立国際電気","Hitachi Kokusai Electric Inc.","カブシキガイシャヒタチコクサイデンキ","千代田区外神田四丁目１４番１号","電気機器","67560"
"E01777","内国法人・組合","上場","有","630923"," 3月31日","ソニー株式会社","SONY CORPORATION","ソニーカブシキガイシャ","港区港南１丁目７番１号","電気機器","67580"
"E01778","内国法人・組合","非上場","有","31990"," 3月31日","ＮＥＣトーキン株式会社","NEC TOKIN Corporation","エヌイーシートーキン　カブシキガイシャ","仙台市太白区郡山六丁目７番１号","電気機器",""
"E01780","内国法人・組合","上場","有","32641"," 3月31日","ＴＤＫ株式会社","TDK Corporation","ティーディーケイカブシキガイシャ","港区芝浦三丁目９番１号","電気機器","67620"
"E01781","内国法人・組合（有価証券報告書等の提出義務者以外）","","","","","三洋電機株式会社","","サンヨウデンキカブシキガイシャ","守口市京阪本通２丁目５番５号","内国法人・組合（有価証券報告書等の提出義務者以外）",""
"E01782","内国法人・組合","上場","有","3453"," 3月31日","帝国通信工業株式会社","Teikoku Tsushin Kogyo Co.,Ltd","テイコクツウシンコウギョウカブシキガイシャ","川崎市中原区苅宿４５番１号","電気機器","67630"
"E01783","内国法人・組合","非上場","有","22059"," 3月31日","株式会社ケンウッド","KENWOOD CORPORATION","カブシキガイシャケンウッド","八王子市石川町２９６７番地３","電気機器",""
"E01784","内国法人・組合","非上場","有","100"," 3月31日","宮越商事株式会社","MIYAKOSHI CORPORATION","ミヤコシショウジカブシキガイシャ","大田区大森北一丁目２３番１号","電気機器",""
"E01785","内国法人・組合","上場","有","39890"," 3月31日","ミツミ電機株式会社","MITSUMI ELECTRIC CO.,LTD.","ミツミデンキカブシキガイシャ","多摩市鶴牧二丁目１１番地２","電気機器","67670"
"E01786","内国法人・組合","上場","有","11829"," 3月31日","株式会社タムラ製作所","TAMURA CORPORATION","カブシキガイシャタムラセイサクショ","練馬区東大泉１－１９－４３","電気機器","67680"
"E01787","内国法人・組合","上場","有","1000"," 3月31日","日本コロムビア株式会社","Nippon Columbia Co., Ltd.","ニッポンコロムビアカブシキガイシャ","港区虎ノ門四丁目１番４０号","情報・通信業","67910"
"E01788","内国法人・組合","非上場","有","51615"," 3月31日","日本ビクター株式会社","Victor Company of Japan, Limited","ニッポンビクターカブシキガイシャ","横浜市神奈川区守屋町三丁目１２番地","電気機器",""
"E01790","内国法人・組合","上場","有","20896"," 3月31日","サンケン電気株式会社","Sanken Electric Co.,Ltd.","サンケンデンキカブシキガイシャ","新座市北野三丁目６番３号","電気機器","67070"
"E01791","内国法人・組合","非上場","有","12266"," 3月31日","エプソントヨコム株式会社","EPSON TOYOCOM CORPORATION","エプソントヨコムカブシキガイシャ","日野市日野４２１‐８","電気機器",""
"E01792","内国法人・組合","上場","有","2996"," 3月31日","明星電気株式会社","MEISEI ELECTRIC CO.,LTD.","メイセイデンキカブシキガイシャ","伊勢崎市長沼町２２２３","電気機器","67090"
"E01793","内国法人・組合","上場","有","23623"," 3月31日","アルプス電気株式会社","ALPS ELECTRIC CO., LTD.","アルプスデンキカブシキガイシャ","大田区雪谷大塚町１番７号","電気機器","67700"
"E01794","内国法人・組合","上場","有","91732"," 3月31日","パイオニア株式会社","PIONEER CORPORATION","パイオニアカブシキガイシャ","川崎市幸区新小倉１－１","電気機器","67730"
"E01795","内国法人・組合","上場","有","3649"," 3月31日","株式会社ＴＢグループ","TB GROUP INC.","カブシキカイシャティービーグループ","文京区本郷三丁目２６番６号","電気機器","67750"
"E01796","内国法人・組合","上場","有","5794","12月31日","山水電気株式会社","SANSUI ELECTRIC CO., LTD.","サンスイデンキカブシキガイシャ","渋谷区東２丁目２３番３号","電気機器",""
"E01797","内国法人・組合","上場","有","3770"," 3月31日","フォスター電機株式会社","Foster Electric Company, Limited","フォスターデンキカブシキガイシャ","昭島市つつじが丘１丁目１番１０９号","電気機器","67940"
"E01798","内国法人・組合","上場","有","1842"," 3月31日","東亜ディーケーケー株式会社","DKK-TOA CORPORATION","トウアディーケーケーカブシキカイシャ","新宿区高田馬場一丁目２９番１０号","電気機器","68480"
"E01802","内国法人・組合","上場","有","3798"," 3月31日","ホーチキ株式会社","HOCHIKI CORPORATION","ホーチキ　カブシキガイシャ","品川区上大崎二丁目１０番４３号","電気機器","67450"
"E01803","内国法人・組合","上場","有","13302"," 3月31日","能美防災株式会社","NOHMI BOSAI LTD.","ノウミボウサイカブシキガイシャ","千代田区九段南４－７－３","電気機器","67440"
"E01804","内国法人・組合","上場","有","2232"," 3月31日","西芝電機株式会社","NISHISHIBA ELECTRIC CO.,LTD.","ニシシバデンキカブシキガイシャ","姫路市網干区浜田１０００番地","電気機器","65910"
"E01805","内国法人・組合","上場","有","7996"," 3月31日","ＳＭＫ株式会社","SMK Corporation","エスエムケイカブシキガイシャ","品川区戸越六丁目５番５号","電気機器","67980"
"E01806","内国法人・組合","上場","有","9926"," 3月31日","山洋電気株式会社","SANYO DENKI CO.,LTD.","サンヨウデンキカブシキガイシャ","豊島区南大塚３－３３－１","電気機器","65160"
"E01807","内国法人・組合","上場","有","10649"," 3月31日","日本電波工業株式会社","NIHON DEMPA KOGYO CO., LTD.","ニホンデンパコウギョウカブシキガイシャ","渋谷区笹塚一丁目５０番１号","電気機器","67790"
"E01808","内国法人・組合","上場","有","3996"," 3月31日","株式会社ヨコオ","YOKOWO CO.,LTD.","カブシキガイシャヨコオ","北区滝野川七丁目５番１１号","電気機器","68000"
"E01810","内国法人・組合","上場","有","17446","12月31日","東光株式会社","TOKO,INC.","トウコウカブシキガイシャ","鶴ヶ島市大字五味ヶ谷１８番地","電気機器","68010"
"E01811","内国法人・組合","上場","有","1277"," 3月31日","東京コスモス電機株式会社","Tokyo Cosmoc Electric Co., Ltd.","トウキョウコスモスデンキカブシキガイシャ","座間市相武台二丁目１２番１号","電気機器","67720"
"E01813","内国法人・組合","上場","有","1208"," 3月31日","天昇電気工業株式会社","Tensho Electric Industries Co., Ltd.","テンショウデンキコウギョウカブシキガイシャ","町田市鶴間６８７番１号","化学","67760"
"E01814","内国法人・組合","上場","有","26100"," 3月31日","クラリオン株式会社","Clarion Co.,Ltd.","クラリオンカブシキガイシャ","さいたま市中央区新都心７番地２","電気機器","67960"
"E01815","内国法人・組合","上場","有","13660"," 3月31日","ホシデン株式会社","Hosiden Corporation","ホシデンカブシキガイシャ","八尾市北久宝寺１丁目４番３３号","電気機器","68040"
"E01816","内国法人・組合","上場","有","1500"," 3月31日","大同信号株式会社","Daido Signal Co.,Ltd.","ダイドウシンゴウカブシキガイシャ","港区新橋六丁目１７番１９号","電気機器","67430"
"E01817","内国法人・組合","上場","有","5200"," 3月31日","北陸電気工業株式会社","HOKURIKU ELECTRIC INDUSTRY CO., LTD.","ホクリクデンキコウギョウカブシキガイシャ","富山市下大久保３１５８番地","電気機器","69890"
"E01819","内国法人・組合","上場","有","10022"," 3月31日","池上通信機株式会社","IKEGAMI TSUSHINKI CO., LTD.","イケガミツウシンキカブシキガイシャ","大田区池上五丁目６番１６号","電気機器","67710"
"E01821","内国法人・組合","上場","有","2264"," 3月31日","株式会社三社電機製作所","Sansha Electric Manufacturing Co.,Ltd.","カブシキガイシャサンシャデンキセイサクショ","大阪市東淀川区西淡路三丁目１番５６号","電気機器","68820"
"E01823","内国法人・組合","上場","有","3195"," 3月31日","田淵電機株式会社","TABUCHI ELECTRIC CO.,LTD.","タブチデンキカブシキガイシャ","大阪市淀川区宮原４－２－２１","電気機器","66240"
"E01824","内国法人・組合","上場","有","23557"," 3月31日","太陽誘電株式会社","TAIYO YUDEN CO., LTD.","タイヨウユウデンカブシキガイシャ","台東区上野６丁目１６番２０号","電気機器","69760"
"E01827","内国法人・組合","上場","有","4909"," 3月31日","株式会社ナカヨ通信機","NAKAYO TELECOMMUNICATIONS,INC.","カブシキガイシャ　ナカヨツウシンキ","前橋市総社町一丁目３番２号","電気機器","67150"
"E01828","内国法人・組合","上場","有","10690"," 3月31日","日本航空電子工業株式会社","Japan Aviation Electronics Industry, Limited","ニホンコウクウデンシコウギョウカブシキガイシャ","渋谷区道玄坂１丁目２１番２号","電気機器","68070"
"E01830","内国法人・組合","上場","有","35999"," 3月31日","ユニデン株式会社","UNIDEN CORPORATION","ユニデンカブシキガイシャ","中央区八丁堀二丁目１２番７号","電気機器","68150"
"E01831","内国法人・組合","上場","有","5279"," 3月31日","ＴＯＡ株式会社","TOA CORPORATION","ティーオーエーカブシキガイシャ","神戸市中央区港島中町七丁目２番１号","電気機器","68090"
"E01832","内国法人・組合","非上場","有","88"," 3月31日","株式会社リゾート＆メディカル","Resort & Medical Co., Ltd.","カブシキガイシャリゾートアンドメディカル","千代田区紀尾井町４番１号","電気機器",""
"E01833","内国法人・組合","非上場","有","975"," 3月31日","株式会社サンコーシヤ","SANKOSHA CORPORATION","カブシキガイシャサンコーシヤ","品川区大崎四丁目三番八号","電気機器",""
"E01834","内国法人・組合","上場","有","9274"," 3月31日","ローランド株式会社","Roland Corporation","ローランドカブシキガイシャ","浜松市北区細江町中川２０３６番地の１","その他製品","79440"
"E01836","内国法人・組合（有価証券報告書等の提出義務者以外）","","","","","進工業株式会社","","ススムコウギョウカブシキガイシャ","京都市南区上鳥羽馬廻シ町１４番地","内国法人・組合（有価証券報告書等の提出義務者以外）",""
"E01839","内国法人・組合","上場","有","7534"," 2月末日","古野電気株式会社","FURUNO ELECTRIC CO., LTD.","フルノデンキカブシキガイシャ","西宮市芦原町９番５２号","電気機器","68140"
"E01840","内国法人・組合","上場","有","25920"," 3月31日","アルパイン株式会社","ALPINE ELECTRONICS, INC.","アルパインカブシキガイシャ","品川区西五反田一丁目１番８号","電気機器","68160"
"E01841","内国法人・組合","上場","有","22558"," 3月31日","双葉電子工業株式会社","FUTABA CORPORATION","フタバデンシコウギョウカブシキガイシャ","茂原市大芝６２９番地","電気機器","69860"
"E01842","内国法人・組合","上場","有","1328"," 3月31日","リオン株式会社","RION CO.,LTD.","リオンカブシキガイシャ","国分寺市東元町３丁目２０番４１号","電気機器","68230"
"E01843","内国法人・組合","上場","有","1052"," 3月31日","テクニカル電子株式会社","TECHNICAL ELECTRON Co.,Ltd.","テクニカルデンシカブシキカイシャ","大田区大森西一丁目９番１２号","電気機器","67160"
"E01846","内国法人・組合","非上場","有","600"," 3月31日","島田理化工業株式会社","SPC Electronics Corporation","シマダリカコウギョウカブシキガイシャ","調布市柴崎２丁目１番地３","電気機器",""
"E01847","内国法人・組合","上場","有","910"," 3月31日","株式会社エヌエフ回路設計ブロック","NF CORPORATION","カブシキガイシャエヌエフカイロセッケイブロック","横浜市港北区綱島東六丁目３番２０号","電気機器","68640"
"E01848","内国法人・組合","上場","有","4673"," 3月31日","日本アンテナ株式会社","NIPPON ANTENNA CO.,LTD.","ニッポンアンテナ　カブシキガイシャ","荒川区西尾久七丁目４９番８号","電気機器","69300"
"E01849","内国法人・組合","上場","有","5388"," 3月31日","アイホン株式会社","AIPHONE CO.,LTD","アイホンカブシキガイシャ","名古屋市熱田区神野町二丁目１８番地","電気機器","67180"
"E01850","内国法人・組合","上場","有","7081"," 3月31日","アイコム株式会社","ICOM INCORPORATED","アイコムカブシキガイシャ","大阪市平野区加美鞍作一丁目６番１９号","電気機器","68200"
"E01853","内国法人・組合","上場","無","7578"," 3月31日","マスプロ電工株式会社","MASPRO DENKOH CORP.","マスプロデンコウカブシキガイシャ","日進市浅田町上納８０番地","電気機器",""
"E01855","内国法人・組合","上場","無","1730"," 3月31日","北海電気工事株式会社","hokkai electrical construction company,incorporated","ホッカイデンキコウジカブシキガイシャ","札幌市白石区菊水２条１丁目８番２１号","建設業","18320"
"E01856","内国法人・組合","上場","有","2055"," 5月20日","コーセル株式会社","COSEL CO.,LTD.","コーセルカブシキガイシャ","富山市上赤江町一丁目６番４３号","電気機器","69050"
"E01857","内国法人・組合","上場","有","2019"," 3月31日","原田工業株式会社","HARADA INDUSTRY CO.,LTD.","ハラダコウギョウカブシキガイシャ","品川区南大井６－２６－２","電気機器","69040"
"E01858","内国法人・組合","非上場","有","3703"," 3月31日","東京電波株式会社","TOKYO DENPA CO., LTD.","トウキョウデンパカブシキガイシャ","大田区大森西１丁目１２番１８号","電気機器","69000"
"E01859","内国法人・組合","上場","有","2708"," 3月31日","大井電気株式会社","Oi Electric Co.,Ltd.","オオイデンキカブシキガイシャ","横浜市港北区菊名七丁目３番１６号","電気機器","68220"
"E01860","内国法人・組合","上場","有","1569"," 3月31日","イーター電機工業株式会社","ETA ELECTRIC INDUSTRY CO., LTD.","イーターデンキコウギョウカブシキガイシャ","大田区本羽田二丁目１６番１０号","電気機器","68910"
"E01861","内国法人・組合","上場","有","3649"," 3月31日","長野日本無線株式会社","Nagano Japan Radio Co., Ltd.","ナガノニホンムセンカブシキガイシャ","長野市稲里町１１６３番地","電気機器","68780"
"E01862","内国法人・組合","上場","有","3244"," 3月31日","株式会社イマジカ・ロボット　ホールディングス","Imagica Robot Holdings Inc.","カブシキガイシャイマジカロボットホールディングス","品川区東五反田２－１４－１","情報・通信業","68790"
"E01863","内国法人・組合","上場","有","31307"," 3月31日","船井電機株式会社","FUNAI ELECTRIC CO.,LTD.","フナイデンキカブシキガイシャ","大東市中垣内７丁目７番１号","電気機器","68390"
"E01864","内国法人・組合","上場","有","1524"," 3月31日","株式会社多摩川ホールディングス","TAMAGAWA HOLDINGS CO.,LTD.","カブシキガイシャタマガワホールディングス","港区浜松町１丁目６番１５号","電気機器","68380"
"E01865","内国法人・組合","上場","有","1501"," 3月31日","本多通信工業株式会社","HONDA TSUSHIN KOGYO CO.,LTD.","ホンダツウシンコウギョウカブシキガイシャ","目黒区目黒本町六丁目１８番１２号","電気機器","68260"
"E01867","内国法人・組合","上場","有","9976","12月31日","アライドテレシスホールディングス株式会社","ALLIED TELESIS HOLDINGS K.K.","アライドテレシスホールディングスカブシキガイシャ","品川区西五反田七丁目２１番１１号","電気機器","68350"
"E01870","内国法人・組合","上場","有","4975"," 3月31日","サンテック株式会社","SANTEC CORPORATION","サンテックカブシキガイシャ","小牧市大字大草字年上坂５８２３番地","電気機器","67770"
"E01871","内国法人・組合","上場","有","5764"," 3月31日","富士通コンポーネント株式会社","FUJITSU COMPONENT LIMITED","フジツウコンポーネントカブシキガイシャ","品川区東五反田二丁目３番５号","電気機器","67190"
"E01873","内国法人・組合","上場","有","53204"," 3月31日","セイコーエプソン株式会社","SEIKO EPSON CORPORATION","セイコーエプソンカブシキガイシャ","新宿区西新宿二丁目４番１号","電気機器","67240"
"E01874","内国法人・組合","上場","有","10836"," 3月31日","サクサホールディングス株式会社","SAXA Holdings,Inc.","サクサホールディングスカブシキカイシャ","港区白金一丁目１７番３号　ＮＢＦプラチナタワー","電気機器","66750"
"E01875","内国法人・組合","上場","有","1597"," 3月31日","株式会社メディアグローバルリンクス","MEDIA GLOBAL LINKS CO.,LTD.","カブシキガイシャメディアグローバルリンクス","川崎市幸区堀川町５８０－１６","電気機器","66590"
"E01876","内国法人・組合","上場","有","8522","12月31日","第一精工株式会社","DAI-ICHI SEIKO CO., LTD.","ダイイチセイコウカブシキガイシャ","京都市伏見区桃山町根来１２番地４","電気機器","66400"
"E01878","内国法人・組合","上場","有","43401"," 3月31日","横河電機株式会社","YOKOGAWA ELECTRIC CORPORATION","ヨコガワデンキカブシキガイシャ","武蔵野市中町２－９－３２","電気機器","68410"
"E01879","内国法人・組合","上場","有","10522"," 3月31日","アズビル株式会社","Azbil Corporation","アズビルカブシキガイシャ","千代田区丸の内二丁目７番３号","電気機器","68450"
"E01880","内国法人・組合","上場","有","30514"," 3月31日","スタンレー電気株式会社","Stanley Electric Co.,Ltd.","スタンレーデンキカブシキガイシャ","目黒区中目黒２丁目９番１３号","電気機器","69230"
"E01881","内国法人・組合","上場","有","2547"," 3月31日","日本電産サーボ株式会社","NIDEC SERVO CORPORATION","ニホンデンサンサーボカブシキガイシャ","桐生市相生町３丁目９３番地","電気機器",""
"E01883","内国法人・組合","上場","有","1452"," 3月31日","東光電気株式会社","TOKO ELECTRIC CORPORATION","トウコウデンキカブシキガイシャ","千代田区有楽町一丁目７番１号","電気機器",""
"E01884","内国法人・組合","上場","有","39970"," 3月31日","東芝テック株式会社","TOSHIBA TEC CORPORATION","トウシバテックカブシキガイシャ","品川区大崎一丁目１１番１号","電気機器","65880"
"E01885","内国法人・組合","上場","有","1080"," 3月31日","澤藤電機株式会社","SAWAFUJI ELECTRIC CO.,LTD.","サワフジデンキカブシキガイシャ","太田市新田早川町３番地","電気機器","69010"
"E01886","内国法人・組合","上場","有","8640"," 3月31日","岩崎電気株式会社","IWASAKI ELECTRIC CO.,LTD","イワサキデンキカブシキガイシャ","中央区日本橋馬喰町一丁目４番１６号","電気機器","69240"
"E01887","内国法人・組合","上場","有","17823"," 3月31日","新電元工業株式会社","Shindengen Electric Manufacturing Co.,Ltd.","シンデンゲンコウギョウカブシキガイシャ","千代田区大手町２－２－１","電気機器","68440"
"E01888","内国法人・組合","上場","有","26783"," 3月31日","日東電工株式会社","NITTO DENKO CORPORATION","ニットウデンコウカブシキカイシャ","茨木市下穂積１丁目１番２号","化学","69880"
"E01889","内国法人・組合（有価証券報告書等の提出義務者以外）","","","","","パナソニック電工株式会社","","パナソニックデンコウカブシキガイシャ","門真市大字門真１０４８番地","内国法人・組合（有価証券報告書等の提出義務者以外）",""
"E01890","内国法人・組合","非上場","有","1148"," 3月31日","北芝電機株式会社","KITASHIBA ELECTRIC CO.,LTD.","キタシバデンキカブシキガイシャ","福島市松川町字天王原９番地","電気機器",""
