ダウンロード実行日,2014年01月26日現在,件数,10135件
ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード
"E00045","内国法人・組合","非上場","無","68"," 3月31日","大室温泉株式会社","Omuro spa Co. , Ltd","オオムロオンセンカブシキガイシャ","伊東市富戸字先原１３１７番４５６２","鉱業",""
"E00046","内国法人・組合","非上場","有","2820"," 3月31日","昭和ＫＤＥ株式会社","Showa KDE Co.,Ltd.","ショウワケーディーイーカブシキカイシャ","豊島区西池袋５丁目１７番１４号","鉱業",""
"E00048","内国法人・組合","上場","有","110120"," 3月31日","大和ハウス工業株式会社","DAIWA HOUSE INDUSTRY CO., LTD.","ダイワハウスコウギョウカブシキガイシャ","大阪市北区梅田三丁目３番５号","建設業","19250"
"E00049","内国法人・組合","上場","有","15324"," 3月31日","株式会社ＮＩＰＰＯ","NIPPO CORPORATION","カブシキガイシャニッポ","中央区京橋一丁目１９番１１号","建設業","18810"
"E00050","内国法人・組合（有価証券報告書等の提出義務者以外）","","","31140","","日本コムシス株式会社","","ニッポンコムシスカブシキガイシャ","品川区東五反田２丁目１７番１号","内国法人・組合（有価証券報告書等の提出義務者以外）",""
"E00051","内国法人・組合","上場","有","23454"," 3月31日","前田建設工業株式会社","MAEDA CORPORATION","マエダケンセツコウギョウカブシキガイシャ","千代田区猿楽町二丁目８番８号","建設業","18240"
"E00052","内国法人・組合","上場","有","112448"," 3月31日","大成建設株式会社","taisei corporation","タイセイケンセツカブシキガイシャ","新宿区西新宿一丁目２５番１号","建設業","18010"
"E00053","内国法人・組合","上場","有","74365"," 3月31日","清水建設株式会社","SHIMIZU CORPORATION","シミズケンセツカブシキガイシャ","中央区京橋二丁目１６番１号","建設業","18030"
"E00055","内国法人・組合","上場","有","57752"," 3月31日","株式会社大林組","OBAYASHI  CORPORATION","カブシキガイシャオオバヤシグミ","港区港南二丁目１５番２号","建設業","18020"
"E00056","内国法人・組合","上場","有","13341"," 3月31日","株式会社　熊谷組","Kumagaigumi Co.,Ltd.","カブシキガイシャクマガイグミ","福井市中央２丁目６番８号","建設業","18610"
"E00058","内国法人・組合","上場","有","81447"," 3月31日","鹿島建設株式会社","KAJIMA CORPORATION","カジマケンセツカブシキガイシャ","港区元赤坂一丁目３番１号","建設業","18120"
"E00059","内国法人・組合","非上場","有","5012"," 5月31日","日本国土開発株式会社","JDC CORPORATION","ニホンコクドカイハツカブシキガイシャ","港区赤坂四丁目９番９号","建設業",""
